contest_value,contest_name,manual_year,updated_at
,"ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO",2024,
,"ISS SEPLAG Niteroi ANA DE POLÍTICAS PÚBLICAS E GESTÃO GOVERNAMENTAL SEPLAG GESTÃO GOVERNAMENTAL",2024,
,"ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CIÊNCIAS CONTÁBEIS",2024,
,"ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM CONTROLE INTERNO",2024,
,"ISS SEPLAG Niteroi AUDITOR MUNICIPAL DE CONTROLE INTERNO CGM DIREITO",2024,
,"ISS Serra ES Auditor Fiscal",2023,
,"ISS SERRA NEGRA SP AGENTE DE FISCALIZAÇÃO TRIBUTÁRIA #",2024,
,"ISS Sete Lagoas AUDITOR TEC FISCAL DE TRIBUTOS MUNICIPAIS I",2024,
,"ISS Sinop FISCAL TRIBUTÁRIO",2024,
,"ISS Sobral Auditor Fiscal de Tributos Municipais",2024,
,"ISS Sorocaba Auditor Fiscal",2024,
,"ISS SP AFTM: Gestão Tributária",2023,
,"ISS SP AFTM: Tecnologia da Informação",2023,
,"ISS Suzano AGENTE FISCAL TRIBUTÁRIO",2024,
,"ISS Teresina Auditor Fiscal da Receita Municipal",2016,
,"ISS Uberaba AUDITOR FISCAL DA RECEITA MUNICIPAL/AUDITOR FISCAL DA RECEITA MUNICIPAL",2024,
,"ISS Uberlandia Auditor Fiscal Tributário",2024,
,"ISS Valinhos Auditor Fiscal",2024,
,"ISS Varginha AGENTE FISCAL",2024,
,"ISS Varginha AUDITOR FISCAL TRIBUTÁRIO",2024,
,"RFB Ana",2022,
,"RFB Auditor",2022,
,"RFB 09 Auditor Fiscal",2009,
,"SEFA PA Auditor Fiscal de Receitas Estaduais",2021,
,"SEFA PA Fiscal de Receitas Estaduais",2021,
,"SEFAZ AC Auditor da Receita Estadual",2023,
,"SEFAZ AC Contador",2023,
,"SEFAZ AC Especialista da Fazenda Estadual",2023,
,"SEFAZ AC Tec da Fazenda Estadua",2023,
,"SEFAZ AP Auditor da Receita Estadual",2022,
,"SEFAZ AP Fiscal da Receita Estadual",2022,
,"SEFAZ CE Auditor Fiscal Contábil/Financeiro",2021,
,"SEFAZ CE Auditor Fiscal da Receita Estadual",2021,
,"SEFAZ CE Auditor Fiscal de Tecnologia da Informação",2021,
,"SEFAZ CE Auditor Fiscal Jurídico",2021,
,"SEFAZ DF Auditor Fiscal da Receita Estadual do DF",2020,
,"SEFAZ ES Auditor Fiscal da Receita Estadual",2021,
,"SEFAZ ES Consultor Ciências da Computação",2021,
,"SEFAZ ES Consultor CIÊNCIAS ECONÔMICAS",2021,
,"SEFAZ GO Auditor Fiscal da Receita Estadual",2018,
,"SEFAZ MA Auditor Fiscal da Receita Estadual",2016,
,"SEFAZ MA Tec da Receita Estadual – Arrecadação e Fiscalização de Mercadorias em Trânsito",2016,
,"SEFAZ MA Tec da Receita Estadual – Tecnologia da Informação",2016,
,"SEFAZ MG Auditoria e Fiscalização",2022,
,"SEFAZ MG Tecnologia da Informação",2022,
,"SEFAZ MG Tributação",2022,
,"SEFAZ MT Fiscal de Tributos Estaduais (FTE)",2023,
,"SEFAZ PE Auditor Fiscal do Tesouro Estadual",2022,
,"SEFAZ PE Apoio Ana Administrativo de Ap as Atividades Fazendárias",2022,
,"SEFAZ PE Apoio Assistente Administrativo de Ap as Atividades Fazendárias",2022,
,"SEFAZ PR Auditor Fiscal",2012,
,"SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ADMINISTRADOR",2024,
,"SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ANA FAZENDÁRIO",2024,
,"SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: CONTADOR",2024,
,"SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ECONOMISTA",2024,
,"SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ESTATÍSTICO",2024,
,"SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: PROFISSIONAL DE TECNOLOGIA DA INFORMAÇÃO",2024,
,"SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ADMINISTRATIVO/FINANCEIRA",2024,
,"SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: CONTÁBIL/FINANCEIRA",2024,
,"SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ECONÔMICO/FINANCEIRA",2024,
,"SEFAZ RR Auditor Fiscal de Tributos Estadual",2021,
,"SEFAZ RR TEC DE TRIBUTOS ESTADUAIS",2021,
,"SEFAZ SE Auditor Tributário",2022,
,"SEFIN RO Auditor Fiscal de Tributos Estaduais",2017,
,"SEFIN RO Contador",2017,
,"SEFIN RO Tec Tributário",2017,
