contest_name,contest_value,source_url,page_title,fetched_at,candidates_count,named_count,inside_vacancies_count
SEFAZ AM 22 AUDITOR FISCAL DE TRIBUTOS ESTADUAIS,97_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=97_5&tV=0,Ranking dos Concursos,2026-04-20T15:50:54.942Z,637,69,0
SEFAZ AM 22 Controlador de Arrecadação da Receita Estadual,98_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=98_2&tV=0,Ranking dos Concursos,2026-04-20T15:51:02.332Z,82,32,20
SEFAZ AM 22 GESTOR DE TECNOLOGIA DA INFORMAÇÃO,97_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=97_2&tV=0,Ranking dos Concursos,2026-04-20T15:51:21.538Z,166,0,0
SEFAZ AM 22 TEC ADMINISTRATIVO,97_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=97_3&tV=0,Ranking dos Concursos,2026-04-20T15:52:25.755Z,595,0,0
SEFAZ AP Auditor da Receita Estadual,114_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=114_1&tV=0,Ranking dos Concursos,2026-04-20T15:52:31.498Z,104,67,100
SEFAZ AP Fiscal da Receita Estadual,114_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=114_2&tV=0,Ranking dos Concursos,2026-04-20T15:52:41.206Z,168,94,150
SEFAZ BA 19 AUDITOR FISCAL / ADMINISTRAÇÃO TRIBUTÁRIA,25_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=25_3&tV=0,Ranking dos Concursos,2026-04-20T15:52:45.821Z,27,0,12
"SEFAZ BA 19 AUDITOR FISCAL / ADMINISTRAÇÃO, FINANÇAS E CONTROLE INTERNO",25_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=25_1&tV=0,Ranking dos Concursos,2026-04-20T15:52:51.168Z,30,0,16
SEFAZ BA 19 Auditor Fiscal Tecnologia da Informação,25_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=25_2&tV=0,Ranking dos Concursos,2026-04-20T15:52:55.337Z,21,0,11
SEFAZ BA 22 Agente de Tributos / Administração,95_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=95_1&tV=0,Ranking dos Concursos,2026-04-20T15:53:12.258Z,139,0,9
SEFAZ BA 22 AGENTE DE TRIBUTOS / ADMINISTRAÇÃO TRIBUTÁRIA,95_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=95_3&tV=0,Ranking dos Concursos,2026-04-20T15:53:42.304Z,1000,766,20
SEFAZ BA 22 Agente de Tributos / Tecnologia da Informação,95_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=95_2&tV=0,Ranking dos Concursos,2026-04-20T15:53:47.217Z,19,0,4
SEFAZ CE Auditor Fiscal Contábil/Financeiro,2_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=2_2&tV=0,Ranking dos Concursos,2026-04-20T15:53:53.864Z,46,0,3
SEFAZ CE Auditor Fiscal da Receita Estadual,2_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=2_1&tV=0,Ranking dos Concursos,2026-04-20T15:54:00.904Z,152,110,37
SEFAZ CE Auditor Fiscal de Tecnologia da Informação,2_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=2_4&tV=0,Ranking dos Concursos,2026-04-20T15:54:06.871Z,34,0,8
SEFAZ CE Auditor Fiscal Jurídico,2_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=2_3&tV=0,Ranking dos Concursos,2026-04-20T15:54:15.800Z,59,0,3
SEFAZ DF Auditor Fiscal da Receita Estadual do DF,7_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=7_1&tV=0,Ranking dos Concursos,2026-04-20T15:54:34.659Z,215,71,25
SEFAZ ES Auditor Fiscal da Receita Estadual,4_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=4_1&tV=0,Ranking dos Concursos,2026-04-20T15:54:50.741Z,150,28,0
SEFAZ ES Consultor Ciências da Computação,86_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=86_2&tV=0,Ranking dos Concursos,2026-04-20T15:54:59.143Z,54,0,3
SEFAZ ES Consultor CIÊNCIAS ECONÔMICAS,86_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=86_1&tV=0,Ranking dos Concursos,2026-04-20T15:55:07.082Z,58,0,7
SEFAZ GO Auditor Fiscal da Receita Estadual,9_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=9_1&tV=0,Ranking dos Concursos,2026-04-20T15:55:21.576Z,119,0,27
SEFAZ MA Auditor Fiscal da Receita Estadual,10_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=10_1&tV=0,Ranking dos Concursos,2026-04-20T15:56:25.111Z,738,137,26
SEFAZ MA Tec da Receita Estadual – Arrecadação e Fiscalização de Mercadorias em Trânsito,10_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=10_2&tV=0,Ranking dos Concursos,2026-04-20T15:56:53.454Z,319,62,7
SEFAZ MA Tec da Receita Estadual – Tecnologia da Informação,10_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=10_3&tV=0,Ranking dos Concursos,2026-04-20T15:57:00.348Z,72,31,3
SEFAZ MG Auditoria e Fiscalização,108_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=108_1&tV=0,Ranking dos Concursos,2026-04-20T15:58:05.051Z,931,344,271
SEFAZ MG Tecnologia da Informação,108_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=108_3&tV=0,Ranking dos Concursos,2026-04-20T15:59:08.233Z,572,7,81
SEFAZ MG Tributação,108_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=108_2&tV=0,Ranking dos Concursos,2026-04-20T16:00:04.761Z,545,46,36
SEFAZ MT Fiscal de Tributos Estaduais (FTE),180_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=180_1&tV=0,Ranking dos Concursos,2026-04-20T16:00:36.737Z,272,0,21
SEFAZ PE Auditor Fiscal do Tesouro Estadual,145_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=145_1&tV=0,Ranking dos Concursos,2026-04-20T16:01:21.214Z,514,111,20
SEFAZ PE Apoio Ana Administrativo de Ap as Atividades Fazendárias,106_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=106_2&tV=0,Ranking dos Concursos,2026-04-20T16:02:24.405Z,556,4,9
SEFAZ PE Apoio Assistente Administrativo de Ap as Atividades Fazendárias,106_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=106_1&tV=0,Ranking dos Concursos,2026-04-20T16:03:27.183Z,561,3,28
SEFAZ PI 25 A 01 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC GERAL,614_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_1&tV=0,Ranking dos Concursos,2026-04-20T16:04:17.376Z,437,0,19
SEFAZ PI 25 B 02 AG DE TRIB DA FAZ ESTADUAL ÁREA CONHEC TEC INFORM,614_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_2&tV=0,Ranking dos Concursos,2026-04-20T16:04:22.586Z,31,0,6
SEFAZ PI 25 C 03 AN DO TESOURO ESTADUAL ÁREA CONHEC GERAL,614_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_3&tV=0,Ranking dos Concursos,2026-04-20T16:04:39.591Z,137,0,5
SEFAZ PI 25 D 04 AN DO TESOURO ESTADUAL ÁREA CONHEC TEC DA INFORM,614_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_4&tV=0,Ranking dos Concursos,2026-04-20T16:04:47.804Z,13,0,2
SEFAZ PI 25 E 05 AUD FISC DA FAZ ESTADUAL ÁREA CONHEC GERAL,614_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_5&tV=0,Ranking dos Concursos,2026-04-20T16:05:50.896Z,582,0,11
SEFAZ PI 25 F 06 AUD FISC DA FAZ ESTADUAL/ÁREA CONHEC TEC DA INFORM,614_6,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_6&tV=0,Ranking dos Concursos,2026-04-20T16:05:58.027Z,40,0,3
SEFAZ PI 25 G 07 AUD GOVERNAMENTAL ÁREA CONHEC GERAL,614_7,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_7&tV=0,Ranking dos Concursos,2026-04-20T16:06:06.065Z,55,0,3
SEFAZ PI 25 H 08 AUD GOVERNAMENTAL ÁREA CONHEC TEC DA INFORMAÇÃO,614_8,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_8&tV=0,Ranking dos Concursos,2026-04-20T16:06:09.277Z,12,0,0
SEFAZ PI 25 I 09 AUD GOVERNAMENTAL ÁREA CONHEC ENGENHARIA,614_9,https://www.rankingdosconcursos.com.br/?tC=2&sCa=614_9&tV=0,Ranking dos Concursos,2026-04-20T16:06:15.148Z,37,0,0
SEFAZ PR Auditor Fiscal,567_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=567_1&tV=0,Ranking dos Concursos,2026-04-20T16:07:18.994Z,650,94,0
SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ADMINISTRADOR,719_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=719_1&tV=0,Ranking dos Concursos,2026-04-20T16:07:46.328Z,237,0,0
SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ANA FAZENDÁRIO,719_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=719_2&tV=0,Ranking dos Concursos,2026-04-20T16:08:07.776Z,181,0,0
SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: CONTADOR,719_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=719_3&tV=0,Ranking dos Concursos,2026-04-20T16:08:44.713Z,332,0,0
SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ECONOMISTA,719_4,https://www.rankingdosconcursos.com.br/?tC=2&sCa=719_4&tV=0,Ranking dos Concursos,2026-04-20T16:08:56.862Z,99,0,0
SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ESTATÍSTICO,719_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=719_5&tV=0,Ranking dos Concursos,2026-04-20T16:08:59.762Z,7,0,0
SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: PROFISSIONAL DE TECNOLOGIA DA INFORMAÇÃO,719_6,https://www.rankingdosconcursos.com.br/?tC=2&sCa=719_6&tV=0,Ranking dos Concursos,2026-04-20T16:09:10.913Z,81,0,0
SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ADMINISTRATIVO/FINANCEIRA,569_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=569_1&tV=0,Ranking dos Concursos,2026-04-20T16:10:13.392Z,577,0,0
SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: CONTÁBIL/FINANCEIRA,569_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=569_2&tV=0,Ranking dos Concursos,2026-04-20T16:11:10.200Z,598,93,0
SEFAZ RJ ANA EM FINANÇAS PÚBLICAS – ESP.: ECONÔMICO/FINANCEIRA,569_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=569_3&tV=0,Ranking dos Concursos,2026-04-20T16:11:48.315Z,333,1,0
SEFAZ RJ 2025 AUDITOR FISCAL DA RECEITA ESTADUAL,749_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=749_1&tV=0,Ranking dos Concursos,2026-04-20T16:12:04.478Z,130,0,0
SEFAZ RR Auditor Fiscal de Tributos Estadual,6_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=6_1&tV=0,Ranking dos Concursos,2026-04-20T16:13:08.063Z,675,79,18
SEFAZ RR TEC DE TRIBUTOS ESTADUAIS,175_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=175_1&tV=0,Ranking dos Concursos,2026-04-20T16:14:10.883Z,598,0,19
SEFAZ RS 17 Auditor do Estado do Rio Grande do Sul,24_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=24_1&tV=0,Ranking dos Concursos,2026-04-20T16:14:37.098Z,240,0,5
SEFAZ RS 18 Auditor/Fiscal da Receita Estadual,14_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=14_1&tV=0,Ranking dos Concursos,2026-04-20T16:15:38.637Z,1000,383,37
SEFAZ RS TEC 18 Tec Tributário da Receita Estadual,29_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=29_2&tV=0,Ranking dos Concursos,2026-04-20T16:16:41.499Z,645,1,37
SEFAZ SC 18 Auditor Fiscal da Receita Estadual,8_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=8_1&tV=0,Ranking dos Concursos,2026-04-20T16:16:54.413Z,116,0,57
SEFAZ SC 18 Auditor Fiscal da Receita Estadual Gestão Tributária,8_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=8_3&tV=0,Ranking dos Concursos,2026-04-20T16:16:59.148Z,29,0,14
SEFAZ SC 18 Auditor Fiscal da Receita Estadual TI,8_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=8_2&tV=0,Ranking dos Concursos,2026-04-20T16:17:03.999Z,29,0,14
SEFAZ SC 21 Ana da Receita Estadual IV,65_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=65_1&tV=0,Ranking dos Concursos,2026-04-20T16:17:41.731Z,758,390,55
SEFAZ SE Auditor Tributário,72_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=72_1&tV=0,Ranking dos Concursos,2026-04-20T16:17:48.252Z,47,0,7
SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – GERAL,640_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=640_1&tV=0,Ranking dos Concursos,2026-04-20T16:18:06.164Z,164,0,0
SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – TECNOLOGIA DA INFORMAÇÃO,640_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=640_2&tV=0,Ranking dos Concursos,2026-04-20T16:18:16.258Z,89,0,0
SEFAZ SE 25 AUDITOR FISCAL TRIBUTÁRIO – TRIBUTAÇÃO,640_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=640_3&tV=0,Ranking dos Concursos,2026-04-20T16:18:20.892Z,27,1,0
SEFAZ SP 13 AGENTE FISCAL DE RENDAS GESTÃO TRIBUTÁRIA,648_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=648_1&tV=0,Ranking dos Concursos,2026-04-20T16:19:24.940Z,641,1,0
SEFAZ SP 13 AGENTE FISCAL DE RENDAS TECNOLOGIA DA INFORMAÇÃO,648_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=648_2&tV=0,Ranking dos Concursos,2026-04-20T16:19:38.882Z,121,0,0
SEFAZ SP 2025 A AUD FISCAL REC ESTADUAL GESTÃO TRIBUTÁRIA,730_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=730_1&tV=0,Ranking dos Concursos,2026-04-20T16:20:42.261Z,675,0,142
SEFAZ SP 2025 B AUD FISCAL REC ESTADUAL TI E COMUNICAÇÃO,730_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=730_2&tV=0,Ranking dos Concursos,2026-04-20T16:21:11.555Z,294,0,47
SEFIN RO Auditor Fiscal de Tributos Estaduais,11_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=11_1&tV=0,Ranking dos Concursos,2026-04-20T16:21:45.631Z,342,0,27
SEFIN RO Contador,11_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=11_3&tV=0,Ranking dos Concursos,2026-04-20T16:21:48.624Z,12,0,2
SEFIN RO Tec Tributário,11_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=11_2&tV=0,Ranking dos Concursos,2026-04-20T16:22:01.100Z,298,186,27
