contest_name,contest_value,source_url,page_title,fetched_at,candidates_count,named_count,inside_vacancies_count
ISS Fortaleza Ana Administração,207_5,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_5&tV=0,Ranking dos Concursos,2026-04-20T15:17:12.313Z,37,0,3
ISS Fortaleza Ana Direito,207_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_3&tV=0,Ranking dos Concursos,2026-04-20T15:17:16.389Z,52,0,5
ISS Fortaleza Ana Fazendário / CiênciasEconômicas,207_6,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_6&tV=0,Ranking dos Concursos,2026-04-20T15:17:19.610Z,34,4,0
ISS Fortaleza Ana TI,207_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_2&tV=0,Ranking dos Concursos,2026-04-20T15:17:21.621Z,6,0,1
ISS Fortaleza Auditor Fiscal,207_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=207_1&tV=0,Ranking dos Concursos,2026-04-20T15:17:32.001Z,184,2,15
ISS Francisco Morato AUDITOR FISCAL DE TRIBUTOS MUNICIPAIS,599_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=599_1&tV=0,Ranking dos Concursos,2026-04-20T15:17:35.744Z,39,0,0
ISS Garanhuns Auditor Fiscal,274_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=274_1&tV=0,Ranking dos Concursos,2026-04-20T15:17:39.483Z,48,3,7
ISS Governador Valadares Auditor Fiscal de Tributos,58_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=58_1&tV=0,Ranking dos Concursos,2026-04-20T15:18:14.778Z,753,1,13
ISS Gramado Auditor Tributário,30_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=30_1&tV=0,Ranking dos Concursos,2026-04-20T15:18:17.105Z,14,1,0
ISS GUARUJA Fiscal Municipal,407_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=407_1&tV=0,Ranking dos Concursos,2026-04-20T15:18:26.095Z,280,118,10
ISS Guarulhos Inspetor Fiscal de Rendas VI,35_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=35_1&tV=0,Ranking dos Concursos,2026-04-20T15:19:14.208Z,1000,1,47
ISS Imbé RS Auditor Fiscal da Receita Municipal,686_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=686_1&tV=0,Ranking dos Concursos,2026-04-20T15:19:16.145Z,5,0,0
ISS INDAIATUBA SP 25 AUDITOR FISCAL TRIBUTÁRIO,653_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=653_1&tV=0,Ranking dos Concursos,2026-04-20T15:19:27.744Z,216,2,0
ISS Itajai Assistente Tribut,45_3,https://www.rankingdosconcursos.com.br/?tC=2&sCa=45_3&tV=0,Ranking dos Concursos,2026-04-20T15:20:18.344Z,927,1,15
ISS Itajai Auditor Fiscal Municipal: Controle Urbano,45_2,https://www.rankingdosconcursos.com.br/?tC=2&sCa=45_2&tV=0,Ranking dos Concursos,2026-04-20T15:20:32.409Z,215,0,3
ISS Itajai Auditor Fiscal Municipal: Tributário,45_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=45_1&tV=0,Ranking dos Concursos,2026-04-20T15:20:59.932Z,455,0,2
ISS Itatiba Auditor Fiscal de Rendas Municipais,641_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=641_1&tV=0,Ranking dos Concursos,2026-04-20T15:21:13.179Z,194,0,2
ISS Jaboatao dos Guararapes Auditor Fiscal Tributário,430_1,https://www.rankingdosconcursos.com.br/?tC=2&sCa=430_1&tV=0,Ranking dos Concursos,2026-04-20T15:21:17.198Z,47,14,0
